word,frequency
virus,5
ck,5
tree,5
wink,5
br,5
disappear,5
crowded,5
butter,5
exist,5
fund,5
sheet,5
warm,5
forty,5
faction,5
chemical,4
riddle,4
delicate,4
storyline,4
meaning,4
lay,4
upper,4
study,4
mother,4
exclusive,4
freakin,4
caramel,4
macchiato,4
pc,4
class,4
swaggin,4
swagger,4
holy,4
tragedy,4
meenie,4
gang,4
workin,4
storm,4
rappin,4
stuff,4
lambo,4
trash,4
wo,4
elastic,4
untrue,4
dot,4
brazil,4
passport,4
schedule,4
steppin,4
mayday,4
offline,4
cat,4
hashtag,4
evil,4
sister,4
dry,4
crawl,4
bungee,4
firin,4
wear,4
list,4
cruise,4
card,4
anpan,4
shop,4
kai,4
sippin,4
tippin,4
grippin,4
eatin,4
studio,4
persona,4
popping,4
trippin,4
present,4
soulmate,4
believer,4
wall,4
echo,4
slowly,4
less,4
masterpiece,4
engine,4
uhh,4
mak,4
commin,4
funkyman,4
syrup,4
tak,4
return,4
prince,4
lovebeat,4
circle,4
flight,4
coup,4
vernon,4
bpm,4
carat,4
hun,4
opinion,4
famous,4
continue,4
woozi,4
tre,4
groove,4
mwah,4
lah,4
launch,4
blast,4
hangul,4
eksereul,4
segeneun,4
balbneunde,4
gyesok,4
gibun,4
jaldoel,4
gateunde,4
eopseo,4
buranhan,4
eopsi,4
eopsne,4
deo,4
hae,4
uri,4
bwado,4
yell,4
grateful,4
mam,4
eum,4
uli,4
dul,4
iss,4
carve,4
dororodon,4
pack,4
password,4
le,4
tta,4
guard,4
mistake,4
ar,4
gun,4
plastic,4
ignore,4
burnin,4
puzzle,4
leggo,4
interview,4
holdin,4
paradigm,4
kinda,4
pedal,4
clich,4
sweetness,4
routine,4
prom,4
expectation,4
sassy,4
flaw,4
overcome,4
fightin,4
field,4
unplugged,4
thankful,4
dat,4
delight,4
comma,4
hangover,4
overheat,4
slay,4
goddess,4
taki,4
quick,4
jvcki,4
foolish,4
existence,4
paper,4
twinkle,4
dazzle,4
silence,4
swallow,4
country,4
alarm,4
gasoline,4
boynextdoor,4
serenade,4
lovely,4
month,4
camminare,4
sulla,4
lion,4
insane,4
carpe,4
diem,4
blinding,4
syndrome,4
lucifer,4
tooth,4
knight,4
cious,4
shape,4
create,4
freeze,4
ibe,4
balance,4
tricky,4
moa,4
strength,4
arson,4
strange,4
diddy,4
sendin,4
amazing,4
testify,4
te,4
design,4
muhfuckas,4
chewy,4
mona,4
stumble,4
lasso,4
wah,4
shakalah,4
grape,4
weakness,4
witch,4
glittery,4
conmigo,4
prende,4
fuego,4
odyssey,4
galileo,4
sparkle,3
lyin,3
softie,3
basket,3
soft,3
apple,3
toxic,3
demon,3
caus,3
timing,3
supernatural,3
surprise,3
fail,3
nee,3
represent,3
faith,3
porsche,3
master,3
eastside,3
bighit,3
mc,3
force,3
jung,3
kook,3
becuz,3
murder,3
cypher,3
latte,3
lala,3
lalalalala,3
leader,3
pity,3
satisfy,3
gut,3
fella,3
job,3
positive,3
missin,3
mini,3
eenie,3
wanker,3
